dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-08-01,10,91,2,9,2,8,0,6,16,6,121,5,0
2016-09-01,17,179,7,12,4,80,5,68,112,84,1041,16,5
2016-10-01,13,61,3,12,2,24,4,17,44,27,446,11,2
2016-11-01,7,44,1,5,0,12,3,15,42,33,429,5,0
2016-12-01,6,54,0,6,0,21,3,21,53,41,476,4,0
2017-01-01,6,59,0,6,0,12,0,10,33,27,330,8,1
2017-02-01,8,27,2,8,1,9,0,3,26,8,251,13,1
2017-03-01,6,33,0,6,0,4,1,6,23,14,174,10,0
2017-04-01,6,26,1,6,1,4,2,5,14,14,75,7,2
2017-05-01,8,48,3,7,2,6,0,6,17,19,155,11,4
2017-06-01,6,73,2,5,1,11,1,12,26,40,397,3,2
2017-07-01,5,48,0,5,0,6,1,5,11,16,152,3,1
2017-08-01,9,144,2,9,2,41,2,38,71,62,518,9,2
2017-09-01,9,107,1,8,1,31,1,28,66,56,629,5,1
2017-10-01,9,55,2,8,0,13,2,14,34,23,218,11,4
2017-11-01,6,83,1,5,0,19,1,20,59,39,502,6,3
2017-12-01,6,56,1,6,1,25,1,18,43,30,156,12,2
2018-01-01,9,111,2,9,1,30,4,31,56,52,381,7,5
2018-02-01,8,101,2,8,1,44,7,31,65,59,347,17,12
2018-03-01,8,92,1,8,1,29,2,34,46,51,220,12,3
2018-04-01,4,29,0,4,0,10,1,10,25,16,89,4,2
2018-05-01,6,60,1,6,1,25,1,20,40,35,213,13,1
2018-06-01,6,49,1,6,1,20,4,17,36,30,178,10,3
2018-07-01,6,70,2,6,1,26,4,14,42,22,185,8,2
2018-08-01,11,153,3,9,2,41,4,41,65,63,376,7,5
2018-09-01,6,200,0,6,0,26,6,18,110,93,429,5,4
2018-10-01,7,151,0,7,0,12,2,11,74,70,154,13,1
2018-11-01,9,180,1,7,1,10,0,7,98,101,315,4,2
2018-12-01,6,71,1,6,0,28,5,10,84,68,309,7,5
2019-01-01,5,122,0,5,0,50,6,55,72,80,321,9,2
2019-02-01,6,75,0,6,0,35,8,29,49,40,180,8,2
2019-03-01,5,145,0,5,0,65,3,60,83,85,283,12,4
2019-04-01,5,168,0,5,0,70,7,71,83,98,282,13,1
2019-05-01,9,93,2,7,1,45,2,39,65,52,409,6,2
2019-06-01,7,86,3,4,0,44,3,33,50,42,105,11,4
2019-07-01,6,69,0,4,0,36,5,29,51,35,94,3,0
2019-08-01,8,151,1,6,1,68,13,63,85,95,258,9,2
2019-09-01,6,109,1,5,0,45,3,44,78,80,408,6,2
2019-10-01,13,243,2,10,1,121,22,102,157,160,704,13,3
2019-11-01,8,140,1,7,1,65,7,54,84,83,331,14,1
2019-12-01,7,209,2,5,1,107,13,90,136,146,532,11,6
2020-01-01,10,210,2,8,1,96,8,85,158,126,638,17,6
2020-02-01,8,158,2,7,2,83,11,65,123,135,588,15,6
2020-03-01,10,187,1,9,1,88,14,82,129,132,648,3,4
2020-04-01,9,210,2,8,1,105,8,88,190,149,1107,10,6
2020-05-01,11,181,3,9,2,94,14,75,142,136,664,14,7
2020-06-01,9,170,2,8,1,92,15,76,163,149,545,13,4
2020-07-01,8,89,2,6,1,50,9,33,71,52,152,15,4
2020-08-01,8,125,0,6,0,72,27,55,90,94,179,15,4
