dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-03-01,3,25,2,2,0,1,0,0,252,238,1326,26,2
2015-04-01,2,80,0,1,0,3,2,2,8,10,36,12,1
2015-05-01,3,54,2,2,1,2,0,1,3,1,4,17,3
2015-06-01,4,51,3,4,2,3,1,3,9,8,35,24,2
2015-07-01,2,21,1,1,0,1,0,1,2,1,3,21,1
2015-08-01,1,3,0,1,0,0,0,0,1,1,2,12,0
2015-09-01,1,3,0,1,0,1,1,0,4,4,12,17,0
2015-10-01,2,5,0,2,0,2,1,1,7,6,21,16,1
2015-11-01,3,8,1,2,0,4,0,2,5,4,11,10,0
2015-12-01,2,8,1,2,1,2,1,2,7,7,35,7,0
2016-01-01,2,6,1,2,1,1,1,1,5,5,14,13,2
2016-02-01,3,25,1,3,1,2,0,2,10,13,27,7,3
2016-03-01,1,20,0,1,0,0,0,0,4,6,16,11,0
2016-04-01,3,13,1,2,0,2,0,2,9,7,40,19,1
2016-05-01,2,32,1,2,1,2,1,1,19,17,89,12,6
2016-06-01,2,40,0,2,0,3,0,3,24,27,92,16,1
2016-07-01,2,4,1,2,1,1,0,1,6,4,10,5,4
2016-08-01,1,2,0,1,0,0,0,0,0,1,2,6,2
2016-09-01,1,6,0,1,0,0,0,0,2,1,4,6,0
2016-10-01,1,3,0,1,0,0,0,0,1,1,6,4,0
2016-11-01,1,2,0,1,0,0,0,0,1,1,4,8,1
2016-12-01,1,3,0,1,0,0,0,0,3,1,8,8,0
2017-01-01,3,35,1,3,1,3,0,3,13,12,77,14,1
2017-02-01,2,7,1,2,1,1,0,1,2,1,1,5,3
2017-03-01,2,17,1,2,1,1,0,1,4,3,59,15,1
2017-04-01,1,22,0,1,0,0,0,0,4,2,21,12,2
2017-05-01,1,14,0,1,0,0,0,0,7,5,48,10,2
2017-06-01,3,15,2,1,0,2,0,2,8,6,31,7,2
2017-07-01,2,13,0,2,0,2,0,2,9,9,56,11,1
2017-08-01,3,38,1,2,0,4,1,2,7,10,34,9,2
2017-09-01,2,5,0,2,0,0,0,0,0,0,0,10,0
2017-10-01,1,11,0,1,0,0,0,0,0,0,0,11,1
2017-11-01,3,32,1,3,1,8,0,9,8,10,21,4,2
2017-12-01,4,26,2,3,1,5,0,3,6,4,7,10,0
2018-01-01,2,32,1,1,0,1,0,3,4,4,19,12,3
2018-02-01,1,5,0,1,0,0,0,0,4,4,34,11,1
2018-03-01,4,21,3,2,1,4,0,3,5,4,6,9,3
2018-04-01,4,14,0,3,0,3,0,4,8,7,25,8,1
2018-05-01,1,2,0,1,0,0,0,0,2,2,8,6,4
2018-06-01,3,15,1,2,0,4,0,4,6,6,36,5,1
2018-07-01,3,7,0,1,0,2,0,2,2,2,12,11,0
2018-08-01,1,2,0,1,0,1,0,0,4,1,25,10,1
2018-09-01,1,1,0,1,0,0,0,0,0,0,0,8,0
2018-10-01,3,4,2,3,2,2,0,1,7,5,20,9,2
2018-11-01,3,11,1,3,1,4,0,3,7,3,24,13,1
2018-12-01,3,32,0,3,0,5,3,5,8,11,47,11,2
2019-01-01,3,23,2,1,0,3,1,2,4,4,4,10,1
2019-02-01,1,9,0,1,0,0,0,0,7,3,11,9,2
2019-03-01,3,15,0,1,0,4,0,4,14,9,47,8,1
2019-04-01,2,5,1,2,1,2,1,1,6,5,13,21,2
2019-05-01,2,5,1,2,1,1,0,1,3,3,2,8,0
2019-06-01,1,2,0,1,0,1,0,0,4,0,4,6,0
2019-07-01,3,7,2,2,0,3,0,3,8,6,16,9,3
2019-08-01,6,30,3,5,3,8,0,8,12,12,55,16,4
2019-09-01,2,19,0,1,0,6,0,6,11,7,19,12,1
2019-10-01,5,20,3,4,3,11,2,7,13,11,14,13,1
2019-11-01,2,6,1,1,0,1,0,1,2,1,6,9,2
2019-12-01,2,9,0,2,0,1,0,1,5,4,26,8,2
2020-01-01,2,9,1,2,1,1,1,1,10,7,65,17,1
2020-02-01,3,19,1,2,1,9,0,9,11,11,47,9,0
2020-03-01,2,4,0,1,0,2,0,1,7,5,33,9,1
2020-04-01,2,5,0,2,0,2,1,1,4,4,18,10,0
2020-05-01,10,78,4,7,1,17,2,16,27,31,170,9,3
2020-06-01,3,30,1,3,1,2,0,2,8,20,52,10,3
2020-07-01,2,75,0,1,0,3,1,3,11,18,75,10,2
2020-08-01,8,53,4,5,3,8,1,7,22,34,152,12,4
