dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-10-01,2,67,0,2,0,2,1,1,18,2,290,33,2
2016-11-01,6,157,2,6,2,4,0,2,10,6,180,133,20
2016-12-01,11,372,8,9,4,25,1,22,40,35,543,74,10
2017-01-01,8,172,2,6,1,9,1,10,28,28,560,179,8
2017-02-01,9,135,2,6,0,14,2,11,22,24,328,101,10
2017-03-01,6,230,1,5,1,16,1,17,43,34,598,83,7
2017-04-01,10,171,5,6,1,16,0,14,42,33,354,84,12
2017-05-01,6,168,1,5,0,11,1,12,31,31,434,97,7
2017-06-01,7,137,1,6,0,11,0,11,31,26,234,46,6
2017-07-01,8,62,2,7,2,6,0,3,20,8,112,72,11
2017-08-01,8,261,2,7,1,10,1,7,35,31,227,98,16
2017-09-01,12,200,2,9,1,20,1,22,35,45,405,92,14
2017-10-01,4,63,1,4,0,15,1,13,23,29,196,102,13
2017-11-01,5,36,1,5,1,5,1,2,10,9,158,75,10
2017-12-01,9,104,2,7,2,12,0,13,32,29,205,85,13
2018-01-01,7,86,2,6,2,11,2,10,32,27,459,111,14
2018-02-01,6,143,1,5,1,15,3,9,30,21,313,84,10
2018-03-01,5,200,0,4,0,17,1,19,28,32,347,114,10
2018-04-01,10,300,5,6,0,25,1,22,42,29,366,80,13
2018-05-01,9,215,1,7,0,24,3,25,46,60,479,86,7
2018-06-01,8,249,1,5,0,18,1,15,41,30,340,92,7
2018-07-01,8,166,0,7,0,13,0,11,22,22,171,82,9
2018-08-01,5,106,0,3,0,14,1,12,24,29,322,112,13
2018-09-01,9,118,3,4,0,19,2,16,31,31,230,111,14
2018-10-01,12,284,5,8,2,28,3,26,45,43,344,76,8
2018-11-01,7,163,1,4,0,12,1,13,18,30,308,84,4
2018-12-01,5,62,2,4,0,8,1,8,17,14,190,88,16
2019-01-01,3,11,0,3,0,8,0,8,27,20,200,97,19
2019-02-01,3,9,1,3,0,14,2,9,16,23,131,85,9
2019-03-01,4,7,2,3,0,9,1,5,24,14,155,102,12
2019-04-01,9,76,4,6,1,16,2,17,28,35,379,75,9
2019-05-01,9,149,3,7,2,16,0,15,26,26,231,113,16
2019-06-01,7,14,3,4,0,9,0,9,19,18,201,64,11
2019-07-01,5,9,1,4,0,3,2,3,8,7,84,81,8
2019-08-01,10,78,3,6,0,30,1,27,39,38,303,116,12
2019-09-01,10,86,5,5,1,12,0,14,24,22,203,95,13
2019-10-01,7,81,2,5,1,17,4,9,24,25,256,108,26
2019-11-01,6,70,0,5,0,8,2,7,15,15,118,57,8
2019-12-01,3,50,0,3,0,6,0,5,8,9,70,60,14
2020-01-01,8,204,2,6,1,25,7,23,36,51,421,85,13
2020-02-01,5,275,1,5,0,19,2,16,30,28,236,100,16
2020-03-01,8,98,3,5,0,17,0,18,26,26,195,64,11
2020-04-01,6,166,0,5,0,24,1,23,32,42,242,67,8
2020-05-01,6,54,1,4,0,7,1,8,15,14,94,78,11
2020-06-01,5,46,1,3,0,15,0,14,24,23,107,93,9
2020-07-01,5,107,2,4,1,10,0,9,19,18,192,76,14
2020-08-01,3,45,0,3,0,11,1,8,15,15,133,112,8
